,n_comprobante,fecha,cliente,codigo,cantidad,descripcion,p_unitario,iva,precio_final
11256,B 0003- 00183080,23/02/2023,Cliente: Billetera (23),28,1,Filtros slim Gizeh,250.0,21.0,250.0
11257,B 0003- 00183081,23/02/2023,Cliente: Consumidor Final (1),9540735,1,Lucky box convertible 20,540.0,21.0,540.0
11258,B 0003- 00183082,23/02/2023,Cliente: Consumidor Final (1),7894591,1,chesterfield ks 20,400.0,21.0,400.0
11259,B 0003- 00183083,23/02/2023,Cliente: Consumidor Final (1),898,1,Coca Cola 1250cc Retornable,390.0,21.0,390.0
11260,B 0003- 00183084,23/02/2023,Cliente: Consumidor Final (1),9540440,1,Brio Naranja 1.5L,160.0,21.0,160.0
11261,B 0003- 00183085,23/02/2023,Cliente: Consumidor Final (1),1659,1,Citric naranja 500cc,310.0,21.0,310.0
11262,B 0003- 00183086,23/02/2023,Cliente: Consumidor Final (1),68,1,PIZZA RUCULA/3QUESOS/ANANA/POLLO,490.0,21.0,490.0
11263,B 0003- 00183087,23/02/2023,Cliente: QR Nico (21),898,1,Coca Cola 1250cc Retornable,390.0,21.0,390.0
11264,B 0003- 00183087,23/02/2023,Cliente: QR Nico (21),1,2,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,20.0
11265,B 0003- 00183087,23/02/2023,Cliente: QR Nico (21),30,1,Lucky Strike Box,540.0,10.5,540.0
11266,B 0003- 00183087,23/02/2023,Cliente: QR Nico (21),7893417,1,Stella Artois lata 473 cm,480.0,21.0,480.0
11267,B 0003- 00183088,23/02/2023,Cliente: Consumidor Final (1),21,1,Philip Morris KS,490.0,10.5,490.0
11268,B 0003- 00183088,23/02/2023,Cliente: Consumidor Final (1),104,2,Dos Corazones,130.0,21.0,260.0
11269,B 0003- 00183088,23/02/2023,Cliente: Consumidor Final (1),112,1,Rhodesia,125.0,21.0,125.0
11270,B 0003- 00183089,23/02/2023,Cliente: Consumidor Final (1),22,1,Philip Morris Box,540.0,21.0,540.0
11271,B 0003- 00183089,23/02/2023,Cliente: Consumidor Final (1),6492,1,Coca cola Zero lata 310 ml,180.0,21.0,180.0
11272,B 0003- 00183090,23/02/2023,Cliente: Consumidor Final (1),898,1,Coca Cola 1250cc Retornable,390.0,21.0,390.0
11273,B 0003- 00183091,23/02/2023,Cliente: Consumidor Final (1),121,1,Sugus Confitados x 50g,190.0,21.0,190.0
11274,B 0003- 00183092,23/02/2023,Cliente: Consumidor Final (1),9541106,1,alcohol primordial 250,150.0,0.0,150.0
11275,B 0003- 00183093,23/02/2023,Cliente: Consumidor Final (1),9540806,1,Hogareñas 7 semillas 200 grs,210.0,21.0,210.0
11276,B 0003- 00183094,23/02/2023,Cliente: Consumidor Final (1),1564,1,Mana Rellenas limon,230.0,21.0,230.0
11277,B 0003- 00183094,23/02/2023,Cliente: Consumidor Final (1),9540444,1,Brio Manzana 1.5l,160.0,21.0,160.0
11278,B 0003- 00183095,23/02/2023,Cliente: Consumidor Final (1),1518,1,Bandeja x12 simples Migamax,540.0,21.0,540.0
11279,B 0003- 00183095,23/02/2023,Cliente: Consumidor Final (1),7895075,1,Levite Pomelo 500ml,190.0,21.0,190.0
11280,B 0003- 00183096,23/02/2023,Cliente: Consumidor Final (1),7893779,1,Pipas Gigantes,120.0,21.0,120.0
11281,B 0003- 00183096,23/02/2023,Cliente: Consumidor Final (1),14,1,Lucky Strike 12,310.0,10.5,310.0
11282,B 0003- 00183097,23/02/2023,Cliente: Consumidor Final (1),7895075,1,Levite Pomelo 500ml,190.0,21.0,190.0
11283,B 0003- 00183097,23/02/2023,Cliente: Consumidor Final (1),9540451,1,Agua sierra de los padres 600ml,150.0,21.0,150.0
11284,B 0003- 00183098,23/02/2023,Cliente: Consumidor Final (1),7895050,1,Nesquik mix de cacoas 200ml,240.0,21.0,240.0
11285,B 0003- 00183098,23/02/2023,Cliente: Consumidor Final (1),104,1,Dos Corazones,130.0,21.0,130.0
11286,B 0003- 00183099,23/02/2023,Cliente: Consumidor Final (1),905,1,Sprite 500cc,220.0,21.0,220.0
11287,B 0003- 00183099,23/02/2023,Cliente: Consumidor Final (1),910,1,Fanta 500 cc,220.0,21.0,220.0
11288,B 0003- 00183099,23/02/2023,Cliente: Consumidor Final (1),6766,1,Gatorade Blue 1250,740.0,21.0,740.0
11289,B 0003- 00183100,23/02/2023,Cliente: Consumidor Final (1),9540603,1,Mogul Extreme Sandia,150.0,21.0,150.0
11290,B 0003- 00183100,23/02/2023,Cliente: Consumidor Final (1),7893486,1,Turron Nevares,50.0,21.0,50.0
11291,B 0003- 00183100,23/02/2023,Cliente: Consumidor Final (1),7894932,1,rollitos mogul acidos,90.0,21.0,90.0
11292,B 0003- 00183101,23/02/2023,Cliente: Consumidor Final (1),3672,2,Cereal mix  chocolate y almendras,140.0,21.0,280.0
11293,B 0003- 00183101,23/02/2023,Cliente: Consumidor Final (1),28,1,Filtros slim Gizeh,250.0,21.0,250.0
11294,B 0003- 00183102,23/02/2023,Cliente: Consumidor Final (1),6057,1,OCB negros,240.0,21.0,240.0
11295,B 0003- 00183102,23/02/2023,Cliente: Consumidor Final (1),6611,1,Speed 500ML,360.0,21.0,360.0
11296,B 0003- 00183103,23/02/2023,Cliente: Consumidor Final (1),3503,1,Cafe doble o con leche,210.0,21.0,210.0
11297,B 0003- 00183103,23/02/2023,Cliente: Consumidor Final (1),3505,1,Medialuna/Bizcocho,90.0,21.0,90.0
11298,B 0003- 00183103,23/02/2023,Cliente: Consumidor Final (1),1,4,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,40.0
11299,B 0003- 00183104,23/02/2023,Cliente: Consumidor Final (1),1,5,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,50.0
11300,B 0003- 00183104,23/02/2023,Cliente: Consumidor Final (1),898,1,Coca Cola 1250cc Retornable,390.0,21.0,390.0
11301,B 0003- 00183104,23/02/2023,Cliente: Consumidor Final (1),196,1,Saladix Calabresa 100 gr,240.0,21.0,240.0
11302,B 0003- 00183105,23/02/2023,Cliente: Consumidor Final (1),7894981,1,Palitos San Isidrio 150g Panceta,180.0,21.0,180.0
11303,B 0003- 00183105,23/02/2023,Cliente: Consumidor Final (1),7893780,1,mani pelado pehuamar x 85grs,390.0,21.0,390.0
11304,B 0003- 00183105,23/02/2023,Cliente: Consumidor Final (1),979,1,Brahma 970cc,580.0,21.0,580.0
11305,B 0003- 00183105,23/02/2023,Cliente: Consumidor Final (1),1,5,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,50.0
11306,B 0003- 00183106,23/02/2023,Cliente: Consumidor Final (1),195,2,Cereal Mix Yoghurt Frutilla Light,140.0,21.0,280.0
11307,B 0003- 00183106,23/02/2023,Cliente: Consumidor Final (1),1683,1,Gatorade Naranja 500cc,360.0,21.0,360.0
11308,B 0003- 00183107,23/02/2023,Cliente: Consumidor Final (1),7893985,1,Queso cremoso tradicional tremblay,740.0,21.0,740.0
11309,B 0003- 00183108,23/02/2023,Cliente: Consumidor Final (1),7894501,3,Pepsi lata,140.0,21.0,420.0
11310,B 0003- 00183108,23/02/2023,Cliente: Consumidor Final (1),1,10,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,100.0
11311,B 0003- 00183109,23/02/2023,Cliente: Consumidor Final (1),1,5,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,50.0
11312,B 0003- 00183109,23/02/2023,Cliente: Consumidor Final (1),7894680,1,Doritos queso 45g,350.0,21.0,350.0
11313,B 0003- 00183109,23/02/2023,Cliente: Consumidor Final (1),910,2,Fanta 500 cc,220.0,21.0,440.0
11314,B 0003- 00183109,23/02/2023,Cliente: Consumidor Final (1),1593,1,Mogul Tiburoncitos,90.0,21.0,90.0
11315,B 0003- 00183109,23/02/2023,Cliente: Consumidor Final (1),1519,1,Pack x4 Triples Migamax,450.0,21.0,450.0
11316,B 0003- 00183109,23/02/2023,Cliente: Consumidor Final (1),1516,1,Triple Grande Migamax,450.0,21.0,450.0
11317,B 0003- 00183109,23/02/2023,Cliente: Consumidor Final (1),7893413,1,Chupetines Baby Doll,135.0,21.0,135.0
11318,B 0003- 00183110,23/02/2023,Cliente: Billetera (23),7895022,1,Leche descremada Tregar,290.0,21.0,290.0
11319,B 0003- 00183110,23/02/2023,Cliente: Billetera (23),7895023,1,Leche entera Tregar,320.0,21.0,320.0
11320,B 0003- 00183111,23/02/2023,Cliente: Consumidor Final (1),7893486,2,Turron Nevares,50.0,21.0,100.0
11321,B 0003- 00183111,23/02/2023,Cliente: Consumidor Final (1),14,1,Lucky Strike 12,310.0,10.5,310.0
11322,B 0003- 00183112,23/02/2023,Cliente: Consumidor Final (1),3662,1,pepsi zero azucar 500 cc,210.0,21.0,210.0
11323,B 0003- 00183113,23/02/2023,Cliente: Consumidor Final (1),3503,2,Cafe doble o con leche,210.0,21.0,420.0
11324,B 0003- 00183113,23/02/2023,Cliente: Consumidor Final (1),3505,2,Medialuna/Bizcocho,90.0,21.0,180.0
11325,B 0003- 00183114,23/02/2023,Cliente: QR Nico (21),20,1,Marlboro 10,350.0,10.5,350.0
11326,B 0003- 00183114,23/02/2023,Cliente: QR Nico (21),6074,1,Doritos 85g,630.0,21.0,630.0
11327,B 0003- 00183114,23/02/2023,Cliente: QR Nico (21),297,1,Mani Pedrin Pelados Salados 150g,300.0,21.0,300.0
11328,B 0003- 00183115,23/02/2023,Cliente: Billetera (23),6191,1,Pepsi 2L Retornable,430.0,21.0,430.0
11329,B 0003- 00183115,23/02/2023,Cliente: Billetera (23),7893428,1,Crema de Leche Tregar 200cc,390.0,21.0,390.0
11330,B 0003- 00183116,23/02/2023,Cliente: QR Nico (21),1672,1,Monster Mango Loco 473ml,420.0,21.0,420.0
11331,B 0003- 00183117,23/02/2023,Cliente: Consumidor Final (1),7893428,1,Crema de Leche Tregar 200cc,390.0,21.0,390.0
11332,B 0003- 00183117,23/02/2023,Cliente: Consumidor Final (1),6191,1,Pepsi 2L Retornable,430.0,21.0,430.0
11333,B 0003- 00183117,23/02/2023,Cliente: Consumidor Final (1),900,1,Coca cola Zero 1500cc,520.0,21.0,520.0
11334,B 0003- 00183118,23/02/2023,Cliente: Consumidor Final (1),1571,1,tabaco las hojas premio sin adictivos 30g,730.0,21.0,730.0
11335,B 0003- 00183119,23/02/2023,Cliente: QR Nico (21),9540558,1,pehuamar MANIAX jamon mani 110g,460.0,21.0,460.0
11336,B 0003- 00183119,23/02/2023,Cliente: QR Nico (21),6262,1,Coca Cola Lata 310 cc,185.0,21.0,185.0
11337,B 0003- 00183120,23/02/2023,Cliente: Consumidor Final (1),897,1,Coca Cola 1000 cc,360.0,21.0,360.0
11338,B 0003- 00183120,23/02/2023,Cliente: Consumidor Final (1),6328,1,jabon rexona active 125g,240.0,21.0,240.0
11339,B 0003- 00183121,23/02/2023,Cliente: Consumidor Final (1),23,1,Parliament Box,670.0,21.0,670.0
11340,B 0003- 00183122,23/02/2023,Cliente: QR Nico (21),6293,1,Eugenio Bustos Malbec,670.0,21.0,670.0
11341,B 0003- 00183122,23/02/2023,Cliente: QR Nico (21),7894758,1,soda social SIFON descartable,240.0,21.0,240.0
11342,B 0003- 00183122,23/02/2023,Cliente: QR Nico (21),7893513,1,Cinzano Rosso,1130.0,21.0,1130.0
11343,B 0003- 00183123,23/02/2023,Cliente: Consumidor Final (1),2,1,Cigarrillos Suelto lucky,30.0,21.0,30.0
11344,B 0003- 00183123,23/02/2023,Cliente: Consumidor Final (1),1,2,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,20.0
11345,B 0003- 00183124,23/02/2023,Cliente: Consumidor Final (1),7894427,1,Guaraná Antartica 1.5l,440.0,21.0,440.0
11346,B 0003- 00183125,23/02/2023,Cliente: Consumidor Final (1),3502,1,Cafe jarra,190.0,21.0,190.0
11347,B 0003- 00183126,23/02/2023,Cliente: Consumidor Final (1),9541087,1,Clight Pomelo Rosado,65.0,21.0,65.0
11348,B 0003- 00183126,23/02/2023,Cliente: Consumidor Final (1),6306,1,Twistos Jamon Iberico 100g,550.0,21.0,550.0
11349,B 0003- 00183126,23/02/2023,Cliente: Consumidor Final (1),6342,2,Bon Aqua 1500 cc sin gas,340.0,21.0,680.0
11350,B 0003- 00183126,23/02/2023,Cliente: Consumidor Final (1),7893780,1,mani pelado pehuamar x 85grs,390.0,21.0,390.0
11351,B 0003- 00183127,23/02/2023,Cliente: Consumidor Final (1),1,10,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,100.0
11352,B 0003- 00183128,23/02/2023,Cliente: Consumidor Final (1),7894731,2,Pepsi 250 cc,175.0,21.0,350.0
11353,B 0003- 00183129,23/02/2023,Cliente: Consumidor Final (1),9540636,2,Tomillo   La canasta 20g,95.0,21.0,190.0
11354,B 0003- 00183129,23/02/2023,Cliente: Consumidor Final (1),1,5,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,50.0
11355,B 0003- 00183130,23/02/2023,Cliente: Consumidor Final (1),9540415,1,Corona 710cm Grande,810.0,21.0,810.0
11356,B 0003- 00183131,23/02/2023,Cliente: Consumidor Final (1),6340,1,Philip Morris Caps 10,310.0,21.0,310.0
11357,B 0003- 00183131,23/02/2023,Cliente: Consumidor Final (1),7893753,1,Brahma lata 473ml,320.0,21.0,320.0
11358,B 0003- 00183132,23/02/2023,Cliente: Consumidor Final (1),9541121,1,Jugo del valle 200cc Manzana,90.0,21.0,90.0
11359,B 0003- 00183132,23/02/2023,Cliente: Consumidor Final (1),1,1,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,10.0
11360,B 0003- 00183133,23/02/2023,Cliente: Consumidor Final (1),7893575,1,Lata Heineken 473 cm3,510.0,21.0,510.0
11361,B 0003- 00183134,23/02/2023,Cliente: Consumidor Final (1),3647,1,lucky clic cool 12,310.0,21.0,310.0
11362,B 0003- 00183134,23/02/2023,Cliente: Consumidor Final (1),197,1,Saladix Pizza 100 gr,250.0,21.0,250.0
11363,B 0003- 00183135,23/02/2023,Cliente: Consumidor Final (1),1518,1,Bandeja x12 simples Migamax,540.0,21.0,540.0
11364,B 0003- 00183135,23/02/2023,Cliente: Consumidor Final (1),65,1,PIZZA ESPECIAL/MUZZA/NAPO/CANTI/ROQUE,480.0,21.0,480.0
11365,B 0003- 00183136,23/02/2023,Cliente: Consumidor Final (1),3647,2,lucky clic cool 12,310.0,21.0,620.0
11366,B 0003- 00183137,23/02/2023,Cliente: Consumidor Final (1),3517,1,Encendedor Candela,110.0,21.0,110.0
11367,B 0003- 00183138,23/02/2023,Cliente: Consumidor Final (1),7895013,1,Lays jamon serrano 85g,575.0,21.0,575.0
11368,B 0003- 00183139,23/02/2023,Cliente: Consumidor Final (1),6262,1,Coca Cola Lata 310 cc,185.0,21.0,185.0
11369,B 0003- 00183140,23/02/2023,Cliente: Consumidor Final (1),14,1,Lucky Strike 12,310.0,10.5,310.0
11370,B 0003- 00183140,23/02/2023,Cliente: Consumidor Final (1),143,1,Celulosa zeus 100% natural x50,220.0,21.0,220.0
11371,B 0003- 00183140,23/02/2023,Cliente: Consumidor Final (1),91,1,Alfajor Terrabusi Torta x3,245.0,21.0,245.0
11372,B 0003- 00183140,23/02/2023,Cliente: Consumidor Final (1),92,1,Alfajor Terrabusi Simple Blanco,170.0,21.0,170.0
11373,B 0003- 00183140,23/02/2023,Cliente: Consumidor Final (1),1,5,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,50.0
11374,B 0003- 00183141,23/02/2023,Cliente: Consumidor Final (1),3647,1,lucky clic cool 12,310.0,21.0,310.0
11375,B 0003- 00183142,23/02/2023,Cliente: Billetera (23),97,2,Guaymallen Blanco,110.0,21.0,220.0
11376,B 0003- 00183142,23/02/2023,Cliente: Billetera (23),10,2,Rocklets  40g,200.0,21.0,400.0
11377,B 0003- 00183142,23/02/2023,Cliente: Billetera (23),7898311,2,Guaymallen membrillo triple,100.0,21.0,200.0
11378,B 0003- 00183142,23/02/2023,Cliente: Billetera (23),7895070,1,Pitusas Merengue 120g,25.0,21.0,25.0
11379,B 0003- 00183142,23/02/2023,Cliente: Billetera (23),9541101,1,9 oro Avena 120gr,165.0,21.0,165.0
11380,B 0003- 00183142,23/02/2023,Cliente: Billetera (23),926,1,Paso de los Toros Tónica 1.500 cc,480.0,21.0,480.0
11381,B 0003- 00183142,23/02/2023,Cliente: Billetera (23),862,1,pepsi black 1500 cc,480.0,21.0,480.0
11382,B 0003- 00183143,23/02/2023,Cliente: Consumidor Final (1),975,1,Stella Artois 975cc,860.0,21.0,860.0
11383,B 0003- 00183144,23/02/2023,Cliente: Consumidor Final (1),7893590,1,Mayonesa Natura 250cm,390.0,21.0,390.0
11384,B 0003- 00183145,23/02/2023,Cliente: Billetera (23),7893590,1,Mayonesa Natura 250cm,390.0,21.0,390.0
11385,B 0003- 00183145,23/02/2023,Cliente: Billetera (23),991,1,yogur con cereal light serenisima,250.0,21.0,250.0
11386,B 0003- 00183146,23/02/2023,Cliente: Consumidor Final (1),983,4,Quilmes Lata 473cc,320.0,21.0,1280.0
11387,B 0003- 00183147,23/02/2023,Cliente: Consumidor Final (1),111,1,Tita,110.0,21.0,110.0
11388,B 0003- 00183148,23/02/2023,Cliente: Billetera (23),903,1,coca cola retornable 2000,510.0,21.0,510.0
11389,B 0003- 00183149,23/02/2023,Cliente: Consumidor Final (1),19,1,Marlboro Box,620.0,21.0,620.0
11390,B 0003- 00183149,23/02/2023,Cliente: Consumidor Final (1),6067,1,Encendedor Maxi Bic,300.0,21.0,300.0
11391,B 0003- 00183150,23/02/2023,Cliente: Consumidor Final (1),7894758,1,soda social SIFON descartable,240.0,21.0,240.0
11392,B 0003- 00183151,23/02/2023,Cliente: QR Nico (21),899,1,Coca Cola 1500 cc,520.0,21.0,520.0
11393,B 0003- 00183152,23/02/2023,Cliente: Consumidor Final (1),1514,2,Triple Miga Chico Migamax,380.0,21.0,760.0
11394,B 0003- 00183153,23/02/2023,Cliente: Consumidor Final (1),7894591,1,chesterfield ks 20,400.0,21.0,400.0
11395,B 0003- 00183154,23/02/2023,Cliente: Consumidor Final (1),903,1,coca cola retornable 2000,510.0,21.0,510.0
11396,B 0003- 00183154,23/02/2023,Cliente: Consumidor Final (1),99,2,Alfajor Fantoche Triple Chocolate,155.0,21.0,310.0
11397,B 0003- 00183155,23/02/2023,Cliente: Consumidor Final (1),92,1,Alfajor Terrabusi Simple Blanco,170.0,21.0,170.0
11398,B 0003- 00183156,23/02/2023,Cliente: Consumidor Final (1),6351,1,bolsa de residuo nikito 45x60,260.0,21.0,260.0
11399,B 0003- 00183156,23/02/2023,Cliente: Consumidor Final (1),983,2,Quilmes Lata 473cc,320.0,21.0,640.0
11400,B 0003- 00183156,23/02/2023,Cliente: Consumidor Final (1),7895227,1,Patagonia 24.7 410cc,330.0,21.0,330.0
11401,B 0003- 00183156,23/02/2023,Cliente: Consumidor Final (1),7894816,2,Patagonia IPA 24.7 710,690.0,21.0,1380.0
11402,B 0003- 00183157,23/02/2023,Cliente: Consumidor Final (1),6309,1,Twistos  Quesos 40 g,285.0,21.0,285.0
11403,B 0003- 00183157,23/02/2023,Cliente: Consumidor Final (1),9540546,1,Twistos Jamon 40g,285.0,21.0,285.0
11404,B 0003- 00183158,23/02/2023,Cliente: Consumidor Final (1),7894758,1,soda social SIFON descartable,240.0,21.0,240.0
11405,B 0003- 00183159,23/02/2023,Cliente: Consumidor Final (1),7893753,1,Brahma lata 473ml,320.0,21.0,320.0
11406,B 0003- 00183160,23/02/2023,Cliente: Billetera (23),1,18,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,180.0
11407,B 0003- 00183160,23/02/2023,Cliente: Billetera (23),1,18,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,180.0
11408,B 0003- 00183160,23/02/2023,Cliente: Billetera (23),905,1,Sprite 500cc,220.0,21.0,220.0
11409,B 0003- 00183161,23/02/2023,Cliente: Consumidor Final (1),7894924,1,esponja mortimer cuidadosa,80.0,21.0,80.0
11410,B 0003- 00183162,23/02/2023,Cliente: Consumidor Final (1),897,1,Coca Cola 1000 cc,360.0,21.0,360.0
11411,B 0003- 00183163,24/02/2023,Cliente: Agus (24),7791597,1,Galletitas media tarde x 3,310.0,21.0,310.0
11412,B 0003- 00183163,24/02/2023,Cliente: Agus (24),3505,1,Medialuna/Bizcocho,90.0,21.0,90.0
11413,B 0003- 00183164,24/02/2023,Cliente: Consumidor Final (1),3509,1,Desayuno  para llevar con 2 facturas,390.0,21.0,390.0
11414,B 0003- 00183165,24/02/2023,Cliente: Consumidor Final (1),9540488,1,Liverpool mentolado,200.0,21.0,200.0
11415,B 0003- 00183166,24/02/2023,Cliente: Consumidor Final (1),1703,1,menthoplus mentol,100.0,21.0,100.0
11416,B 0003- 00183167,24/02/2023,Cliente: Consumidor Final (1),3505,6,Medialuna/Bizcocho,90.0,21.0,540.0
11417,B 0003- 00183168,24/02/2023,Cliente: Consumidor Final (1),34,1, lucky Parisi Box 20,670.0,21.0,670.0
11418,B 0003- 00183169,24/02/2023,Cliente: Consumidor Final (1),1,10,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,100.0
11419,B 0003- 00183169,24/02/2023,Cliente: Consumidor Final (1),3508,1,Café para llevar,200.0,21.0,200.0
11420,B 0003- 00183170,24/02/2023,Cliente: QR Nico (21),112,1,Rhodesia,125.0,21.0,125.0
11421,B 0003- 00183170,24/02/2023,Cliente: QR Nico (21),97,1,Guaymallen Blanco,110.0,21.0,110.0
11422,B 0003- 00183170,24/02/2023,Cliente: QR Nico (21),3557,2,Alfajor sin culpa limon,165.0,21.0,330.0
11423,B 0003- 00183171,24/02/2023,Cliente: Consumidor Final (1),1680,1,dulce de leche serenisima clasico 400g,330.0,21.0,330.0
11424,B 0003- 00183172,24/02/2023,Cliente: Billetera (23),7894758,2,soda social SIFON descartable,240.0,21.0,480.0
11425,B 0003- 00183172,24/02/2023,Cliente: Billetera (23),7894932,1,rollitos mogul acidos,90.0,21.0,90.0
11426,B 0003- 00183173,24/02/2023,Cliente: Consumidor Final (1),3508,1,Café para llevar,220.0,21.0,220.0
11427,B 0003- 00183174,24/02/2023,Cliente: Consumidor Final (1),19,1,Marlboro Box,620.0,21.0,620.0
11428,B 0003- 00183175,24/02/2023,Cliente: Consumidor Final (1),7894127,1,Cheetos horneados 94g,575.0,21.0,575.0
11429,B 0003- 00183175,24/02/2023,Cliente: Consumidor Final (1),910,1,Fanta 500 cc,220.0,21.0,220.0
11430,B 0003- 00183175,24/02/2023,Cliente: Consumidor Final (1),7895075,1,Levite Pomelo 500ml,190.0,21.0,190.0
11431,B 0003- 00183176,24/02/2023,Cliente: Consumidor Final (1),14,1,Lucky Strike 12,310.0,10.5,310.0
11432,B 0003- 00183177,24/02/2023,Cliente: Consumidor Final (1),3517,1,Encendedor Candela,110.0,21.0,110.0
11433,B 0003- 00183177,24/02/2023,Cliente: Consumidor Final (1),7895179,1,CIGARRILOS PIER BOX,250.0,21.0,250.0
11434,B 0003- 00183178,24/02/2023,Cliente: Consumidor Final (1),3512,1,Topline 7 Menta,110.0,21.0,110.0
11435,B 0003- 00183178,24/02/2023,Cliente: Consumidor Final (1),7893912,1,Hojaldrada triangulitos,260.0,21.0,260.0
11436,B 0003- 00183178,24/02/2023,Cliente: Consumidor Final (1),9540442,1,Rockstar 500ml,210.0,21.0,210.0
11437,B 0003- 00183179,24/02/2023,Cliente: Consumidor Final (1),915,1,Powerade Mountain Blast 500cc,320.0,21.0,320.0
11438,B 0003- 00183179,24/02/2023,Cliente: Consumidor Final (1),9540754,1,"agua social  2,25",130.0,21.0,130.0
11439,B 0003- 00183179,24/02/2023,Cliente: Consumidor Final (1),1559,1,Bizcochos Salados Don Satur 200 gr,190.0,21.0,190.0
11440,B 0003- 00183179,24/02/2023,Cliente: Consumidor Final (1),3517,1,Encendedor Candela,110.0,21.0,110.0
11441,B 0003- 00183180,24/02/2023,Cliente: Consumidor Final (1),2,1,Cigarrillos Suelto lucky,30.0,21.0,30.0
11442,B 0003- 00183181,24/02/2023,Cliente: Consumidor Final (1),3504,1,Desayuno con 2 facturas/ 1 tostada,360.0,21.0,360.0
11443,B 0003- 00183181,24/02/2023,Cliente: Consumidor Final (1),6262,1,Coca Cola Lata 310 cc,185.0,21.0,185.0
11444,B 0003- 00183182,24/02/2023,Cliente: Consumidor Final (1),1663,1,Alfajor Sin Culpa Naranja 35g,165.0,21.0,165.0
11445,B 0003- 00183183,24/02/2023,Cliente: Consumidor Final (1),3504,1,Desayuno con 2 facturas/ 1 tostada,360.0,21.0,360.0
11446,B 0003- 00183184,24/02/2023,Cliente: Consumidor Final (1),3509,1,Desayuno  para llevar con 2 facturas,390.0,21.0,390.0
11447,B 0003- 00183184,24/02/2023,Cliente: Consumidor Final (1),3505,1,Medialuna/Bizcocho,90.0,21.0,90.0
11448,B 0003- 00183185,24/02/2023,Cliente: Consumidor Final (1),1589,2,TURRON ARCOR,50.0,21.0,100.0
11449,B 0003- 00183185,24/02/2023,Cliente: Consumidor Final (1),896,1,Coca Cola 500cc,230.0,21.0,230.0
11450,B 0003- 00183186,24/02/2023,Cliente: Consumidor Final (1),898,1,Coca Cola 1250cc Retornable,390.0,21.0,390.0
11451,B 0003- 00183186,24/02/2023,Cliente: Consumidor Final (1),17,6,Adicional Bebida en la mesa,5.0,21.0,30.0
11452,B 0003- 00183187,24/02/2023,Cliente: Consumidor Final (1),9540754,1,"agua social  2,25",130.0,21.0,130.0
11453,B 0003- 00183188,24/02/2023,Cliente: Consumidor Final (1),6638,1,Lucky silver 20ks,490.0,21.0,490.0
11454,B 0003- 00183188,24/02/2023,Cliente: Consumidor Final (1),7893486,1,Turron Nevares,50.0,21.0,50.0
11455,B 0003- 00183189,24/02/2023,Cliente: Consumidor Final (1),3502,1,Cafe jarra,190.0,21.0,190.0
11456,B 0003- 00183190,24/02/2023,Cliente: Consumidor Final (1),31,1,lucky Strike 20KS,480.0,21.0,480.0
11457,B 0003- 00183191,24/02/2023,Cliente: Consumidor Final (1),7895182,2,YERBA CHAMIGO 500,290.0,0.0,580.0
11458,B 0003- 00183192,24/02/2023,Cliente: Consumidor Final (1),7894407,1,bombilla mensú,360.0,21.0,360.0
11459,B 0003- 00183192,24/02/2023,Cliente: Consumidor Final (1),15,4,Adicional desayuno,5.0,21.0,20.0
11460,B 0003- 00183192,24/02/2023,Cliente: Consumidor Final (1),6067,1,Encendedor Maxi Bic,300.0,21.0,300.0
11461,B 0003- 00183192,24/02/2023,Cliente: Consumidor Final (1),7895187,1,Topline 7 Mentol,120.0,21.0,120.0
11462,B 0003- 00183193,24/02/2023,Cliente: Consumidor Final (1),3502,1,Cafe jarra,190.0,21.0,190.0
11463,B 0003- 00183193,24/02/2023,Cliente: Consumidor Final (1),1589,1,TURRON ARCOR,50.0,21.0,50.0
11464,B 0003- 00183194,24/02/2023,Cliente: Consumidor Final (1),6804,1,Levite Manzana 500,190.0,21.0,190.0
11465,B 0003- 00183195,24/02/2023,Cliente: Consumidor Final (1),9541119,1,Jugo del valle 200cc Naranja,90.0,21.0,90.0
11466,B 0003- 00183196,24/02/2023,Cliente: Consumidor Final (1),9540546,1,Twistos Jamon 40g,285.0,21.0,285.0
11467,B 0003- 00183196,24/02/2023,Cliente: Consumidor Final (1),1,5,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,50.0
11468,B 0003- 00183196,24/02/2023,Cliente: Consumidor Final (1),7894348,1,Lina con alas,285.0,21.0,285.0
11469,B 0003- 00183197,24/02/2023,Cliente: Consumidor Final (1),896,1,Coca Cola 500cc,230.0,21.0,230.0
