,n_comprobante,fecha,cliente,codigo,cantidad,descripcion,p_unitario,iva,precio_final,rubro
16443,B 0003- 00186154,2023-03-16,Cliente: Consumidor Final (1),3647,1,lucky clic cool 12,360.0,21.0,360.0,cigarrillos
16444,B 0003- 00186155,2023-03-16,Cliente: Consumidor Final (1),983,2,Quilmes Lata 473cc,350.0,21.0,700.0,quilmes (312)
16445,B 0003- 00186156,2023-03-16,Cliente: Consumidor Final (1),6375,2,Tabaco Lucky original,880.0,21.0,1760.0,cigarrillos
16446,B 0003- 00186157,2023-03-16,Cliente: Consumidor Final (1),7893621,2,Gillette Prestobarba x2,290.0,21.0,580.0,perfumeria (16)
16447,B 0003- 00186158,2023-03-16,Cliente: Consumidor Final (1),7791710,1,Bandeja alfajor chocolate casita dulce,510.0,21.0,510.0,9999
16448,B 0003- 00186159,2023-03-16,Cliente: QR Nico (21),94,2,Milka Mousse Blanco x3,260.0,21.0,520.0,alfajores (5)
16449,B 0003- 00186159,2023-03-16,Cliente: QR Nico (21),896,1,Coca Cola 500cc,230.0,21.0,230.0,coca cola (308)
16450,B 0003- 00186160,2023-03-16,Cliente: Consumidor Final (1),896,1,Coca Cola 500cc,230.0,21.0,230.0,coca cola (308)
16451,B 0003- 00186160,2023-03-16,Cliente: Consumidor Final (1),877,1,Merengadas,230.0,21.0,230.0,galletitas (9)
16452,B 0003- 00186161,2023-03-16,Cliente: Consumidor Final (1),7893899,1,Marlboro fusion blast box,630.0,21.0,630.0,cigarrillos
16453,B 0003- 00186161,2023-03-16,Cliente: Consumidor Final (1),3535,1,crema de leche tremblay x 200 grs,420.0,21.0,420.0,lacteos (28)
16454,B 0003- 00186161,2023-03-16,Cliente: Consumidor Final (1),222,1,Queso Rallado La Serenisima 35g,260.0,21.0,260.0,lacteos (28)
16455,B 0003- 00186162,2023-03-16,Cliente: Consumidor Final (1),6803,1,Levite Naranja 500c,200.0,21.0,200.0,levite (310)
16456,B 0003- 00186162,2023-03-16,Cliente: Consumidor Final (1),1512,1,Pebete Salame y Queso Migamax,390.0,21.0,390.0,sandwich (1.500)
16457,B 0003- 00186162,2023-03-16,Cliente: Consumidor Final (1),7791732,1,Achalay Tabaco,290.0,21.0,290.0,cigarrillos
16458,B 0003- 00186163,2023-03-16,Cliente: Consumidor Final (1),99,2,Alfajor Fantoche Triple Chocolate,155.0,21.0,310.0,alfajores (5)
16459,B 0003- 00186163,2023-03-16,Cliente: Consumidor Final (1),3021,2,"sanguche milanesa jamon, queso casero",470.0,21.0,940.0,9999
16460,B 0003- 00186163,2023-03-16,Cliente: Consumidor Final (1),3544,1,Gatorade Manzana 500cc,370.0,21.0,370.0,pepsi (309)
16461,B 0003- 00186163,2023-03-16,Cliente: Consumidor Final (1),7895179,2,CIGARRILOS PIER BOX,280.0,21.0,560.0,cigarrillos
16462,B 0003- 00186164,2023-03-16,Cliente: Consumidor Final (1),3640,1,Aquarius Manzana 1500cc,470.0,21.0,470.0,9999
16463,B 0003- 00186165,2023-03-16,Cliente: Consumidor Final (1),7893550,1,Aquarius Pomelo 500ml,180.0,21.0,180.0,coca cola (308)
16464,B 0003- 00186166,2023-03-16,Cliente: Consumidor Final (1),7894501,1,Pepsi lata,150.0,21.0,150.0,pepsi (309)
16465,B 0003- 00186167,2023-03-16,Cliente: Consumidor Final (1),3602,1,villavicencio 500cc,200.0,21.0,200.0,levite (310)
16466,B 0003- 00186168,2023-03-16,Cliente: Consumidor Final (1),7894295,1,Leche entera la serenisima,365.0,21.0,365.0,lacteos (28)
16467,B 0003- 00186169,2023-03-16,Cliente: Consumidor Final (1),7894501,1,Pepsi lata,150.0,21.0,150.0,pepsi (309)
16468,B 0003- 00186170,2023-03-16,Cliente: Consumidor Final (1),100,1,Alfajor Fantoche Triple Blanco,155.0,21.0,155.0,alfajores (5)
16469,B 0003- 00186171,2023-03-16,Cliente: Consumidor Final (1),57,1,Mogul Rollo,100.0,21.0,100.0,golosinas
16470,B 0003- 00186171,2023-03-16,Cliente: Consumidor Final (1),7894195,1,Pepsi zero lata,150.0,21.0,150.0,pepsi (309)
16471,B 0003- 00186172,2023-03-16,Cliente: Consumidor Final (1),1624,1,Coca Cola Zero x 500 cc,230.0,21.0,230.0,coca cola (308)
16472,B 0003- 00186173,2023-03-16,Cliente: QR Nico (21),7894644,1,gatorade frutos tropicales 500,370.0,21.0,370.0,pepsi (309)
16473,B 0003- 00186173,2023-03-16,Cliente: QR Nico (21),1514,1,Triple Miga Chico Migamax,380.0,21.0,380.0,sandwich (1.500)
16474,B 0003- 00186174,2023-03-16,Cliente: Consumidor Final (1),7895046,1,Queso Rallado Tregar 40G,260.0,21.0,260.0,9999
16475,B 0003- 00186175,2023-03-16,Cliente: Consumidor Final (1),7894731,1,Pepsi 250 cc,180.0,21.0,180.0,pepsi (309)
16476,B 0003- 00186176,2023-03-16,Cliente: Consumidor Final (1),14,1,Lucky Strike 12,360.0,10.5,360.0,cigarrillos
16477,B 0003- 00186177,2023-03-16,Cliente: Consumidor Final (1),7893551,1,Aquarius Manzana 500ml,180.0,21.0,180.0,coca cola (308)
16478,B 0003- 00186178,2023-03-16,Cliente: Consumidor Final (1),7893915,1,Cunnington Pomelo/Tonica 1.5l,280.0,21.0,280.0,9999
16479,B 0003- 00186179,2023-03-16,Cliente: Consumidor Final (1),1645,1,Pepsi 500cc,220.0,21.0,220.0,pepsi (309)
16480,B 0003- 00186180,2023-03-16,Cliente: Consumidor Final (1),6340,1,Philip Morris Caps 10,350.0,21.0,350.0,cigarrillos
16481,B 0003- 00186180,2023-03-16,Cliente: Consumidor Final (1),3021,1,"sanguche milanesa jamon, queso casero",470.0,21.0,470.0,9999
16482,B 0003- 00186181,2023-03-16,Cliente: Consumidor Final (1),3021,2,"sanguche milanesa jamon, queso casero",470.0,21.0,940.0,9999
16483,B 0003- 00186181,2023-03-16,Cliente: Consumidor Final (1),6804,1,Levite Manzana 500,200.0,21.0,200.0,levite (310)
16484,B 0003- 00186181,2023-03-16,Cliente: Consumidor Final (1),896,1,Coca Cola 500cc,230.0,21.0,230.0,coca cola (308)
16485,B 0003- 00186182,2023-03-16,Cliente: Consumidor Final (1),6722,1,Lincoln Clasica 153g,240.0,21.0,240.0,galletitas (9)
16486,B 0003- 00186183,2023-03-16,Cliente: Billetera (23),3021,1,"sanguche milanesa jamon, queso casero",470.0,21.0,470.0,9999
16487,B 0003- 00186183,2023-03-16,Cliente: Billetera (23),6804,1,Levite Manzana 500,200.0,21.0,200.0,levite (310)
16488,B 0003- 00186184,2023-03-16,Cliente: Consumidor Final (1),896,2,Coca Cola 500cc,230.0,21.0,460.0,coca cola (308)
16489,B 0003- 00186185,2023-03-16,Cliente: Consumidor Final (1),3602,1,villavicencio 500cc,200.0,21.0,200.0,levite (310)
16490,B 0003- 00186186,2023-03-16,Cliente: Consumidor Final (1),7893437,1,Bon Aqua con gas 1500cc,290.0,21.0,290.0,coca cola (308)
16491,B 0003- 00186187,2023-03-16,Cliente: Consumidor Final (1),1018,1,preservativos tulipan clasico,390.0,21.0,390.0,preservativos (27)
16492,B 0003- 00186187,2023-03-16,Cliente: Consumidor Final (1),9540778,1,Oreo Clasica 118grs,340.0,21.0,340.0,galletitas (9)
16493,B 0003- 00186188,2023-03-16,Cliente: Consumidor Final (1),7894107,1,Schneider Lata 473ml,330.0,21.0,330.0,cervezas (26)
16494,B 0003- 00186188,2023-03-16,Cliente: Consumidor Final (1),7893550,1,Aquarius Pomelo 500ml,180.0,21.0,180.0,coca cola (308)
16495,B 0003- 00186189,2023-03-16,Cliente: Consumidor Final (1),1516,1,Triple Grande Migamax,450.0,21.0,450.0,sandwich (1.500)
16496,B 0003- 00186190,2023-03-16,Cliente: QR Nico (21),3021,1,"sanguche milanesa jamon, queso casero",470.0,21.0,470.0,9999
16497,B 0003- 00186190,2023-03-16,Cliente: QR Nico (21),3662,1,pepsi zero azucar 500 cc,220.0,21.0,220.0,pepsi (309)
16498,B 0003- 00186190,2023-03-16,Cliente: QR Nico (21),7894771,1,Mirinda 250cc,180.0,21.0,180.0,pepsi (309)
16499,B 0003- 00186190,2023-03-16,Cliente: QR Nico (21),926,1,Paso de los Toros Tónica 1.500 cc,490.0,21.0,490.0,pepsi (309)
16500,B 0003- 00186191,2023-03-16,Cliente: Consumidor Final (1),7894591,1,chesterfield ks 20,460.0,21.0,460.0,cigarrillos
16501,B 0003- 00186191,2023-03-16,Cliente: Consumidor Final (1),3647,1,lucky clic cool 12,360.0,21.0,360.0,cigarrillos
16502,B 0003- 00186192,2023-03-16,Cliente: Consumidor Final (1),991,1,yogur con cereal light serenisima,270.0,21.0,270.0,lacteos (28)
16503,B 0003- 00186193,2023-03-16,Cliente: Consumidor Final (1),197,1,Saladix Pizza 100 gr,270.0,21.0,270.0,galletitas (9)
16504,B 0003- 00186194,2023-03-16,Cliente: Consumidor Final (1),19,1,Marlboro Box,700.0,10.5,700.0,cigarrillos
16505,B 0003- 00186195,2023-03-16,Cliente: Consumidor Final (1),7893437,1,Bon Aqua con gas 1500cc,290.0,21.0,290.0,coca cola (308)
16506,B 0003- 00186195,2023-03-16,Cliente: Consumidor Final (1),14,2,Lucky Strike 12,360.0,10.5,720.0,cigarrillos
16507,B 0003- 00186196,2023-03-16,Cliente: Consumidor Final (1),7893915,1,Cunnington Pomelo/Tonica 1.5l,280.0,21.0,280.0,9999
16508,B 0003- 00186196,2023-03-16,Cliente: Consumidor Final (1),15,2,Adicional desayuno,5.0,21.0,10.0,comida (30)
16509,B 0003- 00186197,2023-03-16,Cliente: Consumidor Final (1),3647,1,lucky clic cool 12,360.0,21.0,360.0,cigarrillos
16510,B 0003- 00186198,2023-03-16,Cliente: Consumidor Final (1),65,1,PIZZA ESPECIAL/MUZZA/NAPO/CANTI/ROQUE,510.0,21.0,510.0,comida (30)
16511,B 0003- 00186198,2023-03-16,Cliente: Consumidor Final (1),1,12,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,120.0,caramelos (32)
16512,B 0003- 00186198,2023-03-16,Cliente: Consumidor Final (1),7791419,1,Heineken Ret x 1L,1010.0,21.0,1010.0,cervezas (26)
16513,B 0003- 00186199,2023-03-16,Cliente: Consumidor Final (1),6340,1,Philip Morris Caps 10,350.0,21.0,350.0,cigarrillos
16514,B 0003- 00186199,2023-03-16,Cliente: Consumidor Final (1),6372,1,Tabaco Lucky Galpao,880.0,21.0,880.0,cigarrillos
16515,B 0003- 00186200,2023-03-16,Cliente: Consumidor Final (1),6092,1,H2O Limoneto 500 cc,220.0,21.0,220.0,pepsi (309)
16516,B 0003- 00186200,2023-03-16,Cliente: Consumidor Final (1),1516,1,Triple Grande Migamax,450.0,21.0,450.0,sandwich (1.500)
16517,B 0003- 00186201,2023-03-16,Cliente: Consumidor Final (1),9540994,1,Gaona crunchips dark,280.0,21.0,280.0,almacen (15)
16518,B 0003- 00186202,2023-03-16,Cliente: Consumidor Final (1),9540656,1,Mani Con Cascara 200gr el buho,360.0,21.0,360.0,snack (306)
16519,B 0003- 00186202,2023-03-16,Cliente: Consumidor Final (1),9540754,1,"agua social  2,25",180.0,21.0,180.0,agua mineral (21)
16520,B 0003- 00186202,2023-03-16,Cliente: Consumidor Final (1),1512,1,Pebete Salame y Queso Migamax,390.0,21.0,390.0,sandwich (1.500)
16521,B 0003- 00186202,2023-03-16,Cliente: Consumidor Final (1),7894501,3,Pepsi lata,150.0,21.0,450.0,pepsi (309)
16522,B 0003- 00186202,2023-03-16,Cliente: Consumidor Final (1),6407,3,Coca Cola 2.25cc,700.0,21.0,2100.0,coca cola (308)
16523,B 0003- 00186202,2023-03-16,Cliente: Consumidor Final (1),7893437,1,Bon Aqua con gas 1500cc,290.0,21.0,290.0,coca cola (308)
16524,B 0003- 00186202,2023-03-16,Cliente: Consumidor Final (1),6657,2,Cepita Botella 1.5 l Durazno,420.0,21.0,840.0,coca cola (308)
16525,B 0003- 00186203,2023-03-16,Cliente: Billetera (23),862,1,pepsi black 1500 cc,480.0,21.0,480.0,pepsi (309)
16526,B 0003- 00186203,2023-03-16,Cliente: Billetera (23),7894680,1,Doritos queso 45g,350.0,21.0,350.0,lays (24)
16527,B 0003- 00186204,2023-03-16,Cliente: Consumidor Final (1),991,1,yogur con cereal light serenisima,270.0,21.0,270.0,lacteos (28)
16528,B 0003- 00186205,2023-03-16,Cliente: Consumidor Final (1),100,1,Alfajor Fantoche Triple Blanco,155.0,21.0,155.0,alfajores (5)
16529,B 0003- 00186206,2023-03-16,Cliente: Consumidor Final (1),3502,1,Cafe jarra,190.0,21.0,190.0,comida (30)
16530,B 0003- 00186207,2023-03-16,Cliente: Consumidor Final (1),6818,1,levite cero de pomelo 1.5,420.0,21.0,420.0,levite (310)
16531,B 0003- 00186207,2023-03-16,Cliente: Consumidor Final (1),891,1,Galletitas Paseo Crackers,250.0,21.0,250.0,galletitas (9)
16532,B 0003- 00186207,2023-03-16,Cliente: Consumidor Final (1),6021,1,budin fantoche con frutas,370.0,21.0,370.0,almacen (15)
16533,B 0003- 00186208,2023-03-16,Cliente: Consumidor Final (1),7893899,1,Marlboro fusion blast box,630.0,21.0,630.0,cigarrillos
16534,B 0003- 00186208,2023-03-16,Cliente: Consumidor Final (1),7894295,1,Leche entera la serenisima,365.0,21.0,365.0,lacteos (28)
16535,B 0003- 00186209,2023-03-16,Cliente: Consumidor Final (1),9540790,1,paso de los toros pomelo sin azucar 1.5 lts,490.0,21.0,490.0,pepsi (309)
16536,B 0003- 00186210,2023-03-16,Cliente: Consumidor Final (1),7894624,1,3D 95g,575.0,21.0,575.0,lays (24)
16537,B 0003- 00186211,2023-03-16,Cliente: Consumidor Final (1),245,3,Prime Anatomicos,550.0,21.0,1650.0,preservativos (27)
16538,B 0003- 00186212,2023-03-16,Cliente: Consumidor Final (1),1512,1,Pebete Salame y Queso Migamax,390.0,21.0,390.0,sandwich (1.500)
16539,B 0003- 00186212,2023-03-16,Cliente: Consumidor Final (1),926,1,Paso de los Toros Tónica 1.500 cc,490.0,21.0,490.0,pepsi (309)
16540,B 0003- 00186213,2023-03-16,Cliente: Consumidor Final (1),9540735,1,Lucky box convertible 20,620.0,21.0,620.0,cigarrillos
16541,B 0003- 00186213,2023-03-16,Cliente: Consumidor Final (1),21,1,Philip Morris KS,550.0,10.5,550.0,cigarrillos
16542,B 0003- 00186213,2023-03-16,Cliente: Consumidor Final (1),7893486,2,Turron Nevares,50.0,21.0,100.0,golosinas
16543,B 0003- 00186214,2023-03-16,Cliente: Consumidor Final (1),905,1,Sprite 500cc,220.0,21.0,220.0,coca cola (308)
16544,B 0003- 00186214,2023-03-16,Cliente: Consumidor Final (1),9540942,1,levite fizz pomelo 575ml,170.0,21.0,170.0,levite (310)
16545,B 0003- 00186215,2023-03-16,Cliente: Billetera (23),98,1,Guaymallen Negro,110.0,21.0,110.0,alfajores (5)
16546,B 0003- 00186216,2023-03-16,Cliente: Consumidor Final (1),1,2,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,20.0,caramelos (32)
16547,B 0003- 00186216,2023-03-16,Cliente: Consumidor Final (1),54,1,Lenguitas Maria Lujan Savores Varios,250.0,21.0,250.0,snack (306)
16548,B 0003- 00186216,2023-03-16,Cliente: Consumidor Final (1),6375,1,Tabaco Lucky original,880.0,21.0,880.0,cigarrillos
16549,B 0003- 00186217,2023-03-16,Cliente: Consumidor Final (1),7893588,2,Clight Limonada,85.0,21.0,170.0,generico
16550,B 0003- 00186218,2023-03-16,Cliente: Consumidor Final (1),34,1, lucky Parisi Box 20,760.0,21.0,760.0,9999
16551,B 0003- 00186218,2023-03-16,Cliente: Consumidor Final (1),3502,1,Cafe jarra,190.0,21.0,190.0,comida (30)
16552,B 0003- 00186219,2023-03-16,Cliente: Consumidor Final (1),9540754,1,"agua social  2,25",180.0,21.0,180.0,agua mineral (21)
16553,B 0003- 00186219,2023-03-16,Cliente: Consumidor Final (1),7893671,1,fit mix  granola  bolsita,310.0,21.0,310.0,9999
16554,B 0003- 00186220,2023-03-16,Cliente: Consumidor Final (1),927,2,Pepsi 1.500cc,480.0,21.0,960.0,pepsi (309)
16555,B 0003- 00186221,2023-03-16,Cliente: Billetera (23),7893612,1,Pan Lactal Liviano Bimbo,710.0,21.0,710.0,almacen (15)
16556,B 0003- 00186221,2023-03-16,Cliente: Billetera (23),9540402,1,Stella Artois Noire 473,510.0,21.0,510.0,quilmes (312)
16557,B 0003- 00186221,2023-03-16,Cliente: Billetera (23),6718,1,Salchichas Paladini x 6,340.0,21.0,340.0,lacteos (28)
16558,B 0003- 00186222,2023-03-16,Cliente: Consumidor Final (1),896,1,Coca Cola 500cc,230.0,21.0,230.0,coca cola (308)
16559,B 0003- 00186222,2023-03-16,Cliente: Consumidor Final (1),7893780,1,mani pelado pehuamar x 85grs,390.0,21.0,390.0,lays (24)
16560,B 0003- 00186223,2023-03-16,Cliente: Consumidor Final (1),14,1,Lucky Strike 12,360.0,10.5,360.0,cigarrillos
16561,B 0003- 00186223,2023-03-16,Cliente: Consumidor Final (1),7893567,1,Brahma dorada Lata 473,290.0,21.0,290.0,9999
16562,B 0003- 00186224,2023-03-16,Cliente: Consumidor Final (1),7894342,2,Clight pomelo rosado,85.0,21.0,170.0,9999
16563,B 0003- 00186224,2023-03-16,Cliente: Consumidor Final (1),7791562,1,Magdalenas sabor vainilla,340.0,21.0,340.0,galletitas (9)
16564,B 0003- 00186225,2023-03-16,Cliente: Consumidor Final (1),7894781,1,Guaymallen simple chocolate,65.0,21.0,65.0,9999
16565,B 0003- 00186225,2023-03-16,Cliente: Consumidor Final (1),934,1,Villavicencio Sport 750cc,290.0,21.0,290.0,levite (310)
16566,B 0003- 00186226,2023-03-16,Cliente: Consumidor Final (1),1017,1,CERVEZA AMSTEL LAGER   1L,630.0,21.0,630.0,cervezas (26)
16567,B 0003- 00186226,2023-03-16,Cliente: Consumidor Final (1),3602,1,villavicencio 500cc,200.0,21.0,200.0,levite (310)
16568,B 0003- 00186227,2023-03-16,Cliente: Billetera (23),68,1,PIZZA RUCULA/3QUESOS/ANANA/POLLO,530.0,21.0,530.0,comida (30)
16569,B 0003- 00186227,2023-03-16,Cliente: Billetera (23),6191,1,Pepsi 2L Retornable,440.0,21.0,440.0,pepsi (309)
16570,B 0003- 00186227,2023-03-16,Cliente: Billetera (23),7791357,4,Marroc bocadito,80.0,21.0,320.0,golosinas
16571,B 0003- 00186227,2023-03-16,Cliente: Billetera (23),1665,2,Choclatada Baggio Latte 200cc,185.0,21.0,370.0,lacteos (28)
16572,B 0003- 00186228,2023-03-16,Cliente: Consumidor Final (1),83,1,Alfajor aguila minitorta brownie,220.0,21.0,220.0,alfajores (5)
16573,B 0003- 00186229,2023-03-16,Cliente: Consumidor Final (1),1593,1,Mogul Tiburoncitos,100.0,21.0,100.0,golosinas
16574,B 0003- 00186230,2023-03-16,Cliente: Consumidor Final (1),896,1,Coca Cola 500cc,230.0,21.0,230.0,coca cola (308)
16575,B 0003- 00186231,2023-03-16,Cliente: Consumidor Final (1),9540445,1,Mogul Oso Extreme Acido Dulce,165.0,21.0,165.0,golosinas
16576,B 0003- 00186232,2023-03-16,Cliente: Consumidor Final (1),7894107,1,Schneider Lata 473ml,330.0,21.0,330.0,cervezas (26)
16577,B 0003- 00186233,2023-03-16,Cliente: Consumidor Final (1),7894078,2,Topline 7 sandia,130.0,21.0,260.0,chiclets (6)
16578,B 0003- 00186234,2023-03-16,Cliente: Consumidor Final (1),7795171,1,L&M blue crafted 20ks,490.0,21.0,490.0,9999
16579,B 0003- 00186234,2023-03-16,Cliente: Consumidor Final (1),9540496,1,Amstel Lager 473,340.0,21.0,340.0,cervezas (26)
16580,B 0003- 00186235,2023-03-16,Cliente: Consumidor Final (1),6070,1,Paso de los Toros Pomelo 500cc,220.0,21.0,220.0,pepsi (309)
16581,B 0003- 00186235,2023-03-16,Cliente: Consumidor Final (1),68,1,PIZZA RUCULA/3QUESOS/ANANA/POLLO,530.0,21.0,530.0,comida (30)
16582,B 0003- 00186236,2023-03-16,Cliente: Consumidor Final (1),7895179,1,CIGARRILOS PIER BOX,280.0,21.0,280.0,cigarrillos
16583,B 0003- 00186237,2023-03-16,Cliente: Consumidor Final (1),9540449,1,Cepita Naranja 1l,350.0,21.0,350.0,coca cola (308)
16584,B 0003- 00186238,2023-03-16,Cliente: QR Nico (21),6803,1,Levite Naranja 500c,200.0,21.0,200.0,levite (310)
16585,B 0003- 00186239,2023-03-16,Cliente: Consumidor Final (1),903,1,coca cola retornable 2000,510.0,21.0,510.0,coca cola (308)
16586,B 0003- 00186240,2023-03-16,Cliente: Consumidor Final (1),84,2,Alfajor Aguila Minitorta Clasica,220.0,21.0,440.0,alfajores (5)
16587,B 0003- 00186241,2023-03-16,Cliente: Consumidor Final (1),7894758,1,soda social SIFON descartable,250.0,21.0,250.0,agua mineral (21)
16588,B 0003- 00186242,2023-03-16,Cliente: Consumidor Final (1),7895179,1,CIGARRILOS PIER BOX,280.0,21.0,280.0,cigarrillos
16589,B 0003- 00186243,2023-03-16,Cliente: QR Nico (21),9541121,2,Jugo del valle 200cc Manzana,145.0,21.0,290.0,9999
16590,B 0003- 00186243,2023-03-16,Cliente: QR Nico (21),3672,1,Cereal mix  chocolate y almendras,140.0,21.0,140.0,barras cereales (301)
16591,B 0003- 00186244,2023-03-16,Cliente: QR Nico (21),7791351,1,Alma Mora Malbec,930.0,21.0,930.0,9999
16592,B 0003- 00186245,2023-03-16,Cliente: Consumidor Final (1),7895179,1,CIGARRILOS PIER BOX,280.0,21.0,280.0,cigarrillos
16593,B 0003- 00186246,2023-03-16,Cliente: QR Nico (21),6407,1,Coca Cola 2.25cc,700.0,21.0,700.0,coca cola (308)
16594,B 0003- 00186247,2023-03-16,Cliente: Consumidor Final (1),7791419,1,Heineken Ret x 1L,1010.0,21.0,1010.0,cervezas (26)
16595,B 0003- 00186248,2023-03-16,Cliente: Consumidor Final (1),6340,1,Philip Morris Caps 10,350.0,21.0,350.0,cigarrillos
16596,B 0003- 00186249,2023-03-16,Cliente: Billetera (23),979,1,Brahma 970cc,580.0,21.0,580.0,quilmes (312)
16597,B 0003- 00186250,2023-03-16,Cliente: Consumidor Final (1),7894585,1,Mani con chocolate block,280.0,21.0,280.0,golosinas
16598,B 0003- 00186250,2023-03-16,Cliente: Consumidor Final (1),928,2,7up 1500 cc,480.0,21.0,960.0,pepsi (309)
16599,B 0003- 00186251,2023-03-16,Cliente: Consumidor Final (1),3647,1,lucky clic cool 12,360.0,21.0,360.0,cigarrillos
16600,B 0003- 00186252,2023-03-16,Cliente: Consumidor Final (1),6603,1,Sprite lata 310 cc,180.0,21.0,180.0,coca cola (308)
16601,B 0003- 00186253,2023-03-16,Cliente: QR Nico (21),1514,1,Triple Miga Chico Migamax,380.0,21.0,380.0,sandwich (1.500)
16602,B 0003- 00186253,2023-03-16,Cliente: QR Nico (21),6070,1,Paso de los Toros Pomelo 500cc,220.0,21.0,220.0,pepsi (309)
16603,B 0003- 00186253,2023-03-16,Cliente: QR Nico (21),9541149,1,yummy moritas 30g,90.0,21.0,90.0,9999
16604,B 0003- 00186254,2023-03-16,Cliente: Consumidor Final (1),6340,1,Philip Morris Caps 10,350.0,21.0,350.0,cigarrillos
16605,B 0003- 00186255,2023-03-16,Cliente: Consumidor Final (1),18,1,MARLBORO KS,620.0,10.5,620.0,cigarrillos
16606,B 0003- 00186256,2023-03-16,Cliente: Billetera (23),7894015,1,Spaghetti Terrabussi 500g,260.0,21.0,260.0,mata moscas y mosquitos
16607,B 0003- 00186256,2023-03-16,Cliente: Billetera (23),3520,1,Bananita Dolca grande 30g,180.0,21.0,180.0,golosinas
16608,B 0003- 00186256,2023-03-16,Cliente: Billetera (23),8,1,Oblea Bon o Bon,155.0,21.0,155.0,golosinas
16609,B 0003- 00186257,2023-03-16,Cliente: Consumidor Final (1),896,1,Coca Cola 500cc,230.0,21.0,230.0,coca cola (308)
16610,B 0003- 00186257,2023-03-16,Cliente: Consumidor Final (1),3021,1,"sanguche milanesa jamon, queso casero",470.0,21.0,470.0,9999
16611,B 0003- 00186257,2023-03-16,Cliente: Consumidor Final (1),33,1,pastafrola membrillo/batata casita dulce,510.0,21.0,510.0,9999
16612,B 0003- 00186257,2023-03-16,Cliente: Consumidor Final (1),6216,2,Cappuccino La Virginia x Sobre de 12.5 g,90.0,21.0,180.0,almacen (15)
16613,B 0003- 00186258,2023-03-16,Cliente: Consumidor Final (1),13,1,Philip Morris 10,350.0,10.5,350.0,cigarrillos
16614,B 0003- 00186258,2023-03-16,Cliente: Consumidor Final (1),173,1,Cofler Block x38g,190.0,21.0,190.0,chocolates (4)
16615,B 0003- 00186259,2023-03-16,Cliente: Consumidor Final (1),6042,1,Gatorade Frutas Tropicales 1.25cc,750.0,21.0,750.0,pepsi (309)
16616,B 0003- 00186260,2023-03-16,Cliente: Consumidor Final (1),899,1,Coca Cola 1500 cc,520.0,21.0,520.0,coca cola (308)
16617,B 0003- 00186261,2023-03-16,Cliente: Consumidor Final (1),899,1,Coca Cola 1500 cc,520.0,21.0,520.0,coca cola (308)
16618,B 0003- 00186262,2023-03-16,Cliente: Consumidor Final (1),1,10,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,100.0,caramelos (32)
16619,B 0003- 00186262,2023-03-16,Cliente: Consumidor Final (1),2,1,Cigarrillos Suelto lucky,30.0,21.0,30.0,cigarrillos
16620,B 0003- 00186263,2023-03-16,Cliente: Consumidor Final (1),1007,1,viñas de balbo clasico tinto,740.0,21.0,740.0,vinos (302)
16621,B 0003- 00186264,2023-03-16,Cliente: QR Nico (21),140,2,Andes Rubia lata 500,380.0,21.0,760.0,quilmes (312)
16622,B 0003- 00186265,2023-03-16,Cliente: Consumidor Final (1),982,1,Quilmes Cristal 1L,580.0,21.0,580.0,9999
16623,B 0003- 00186266,2023-03-16,Cliente: Consumidor Final (1),1624,2,Coca Cola Zero x 500 cc,230.0,21.0,460.0,coca cola (308)
16624,B 0003- 00186266,2023-03-16,Cliente: Consumidor Final (1),19,1,Marlboro Box,700.0,10.5,700.0,cigarrillos
16625,B 0003- 00186266,2023-03-16,Cliente: Consumidor Final (1),9540735,1,Lucky box convertible 20,620.0,21.0,620.0,cigarrillos
16626,B 0003- 00186266,2023-03-16,Cliente: Consumidor Final (1),7895275,1,Imperial Apa Lata 473cc,410.0,21.0,410.0,cervezas (26)
16627,B 0003- 00186267,2023-03-16,Cliente: QR Nico (21),979,1,Brahma 970cc,580.0,21.0,580.0,quilmes (312)
16628,B 0003- 00186268,2023-03-17,Cliente: Billetera (23),7893487,1,Monster Energy Ultra 473cc,420.0,21.0,420.0,energizantes (314)
16629,B 0003- 00186269,2023-03-17,Cliente: Consumidor Final (1),6519,1,Menthoplus Zero Strong,125.0,21.0,125.0,caramelos (32)
16630,B 0003- 00186270,2023-03-17,Cliente: Consumidor Final (1),1669,1,yogur firme vainilla  190g,210.0,21.0,210.0,lacteos (28)
16631,B 0003- 00186271,2023-03-17,Cliente: Consumidor Final (1),3672,1,Cereal mix  chocolate y almendras,140.0,21.0,140.0,barras cereales (301)
16632,B 0003- 00186271,2023-03-17,Cliente: Consumidor Final (1),1683,1,Gatorade Naranja 500cc,370.0,21.0,370.0,pepsi (309)
16633,B 0003- 00186272,2023-03-17,Cliente: Consumidor Final (1),9541127,1,Monster watermelon,420.0,21.0,420.0,9999
16634,B 0003- 00186273,2023-03-17,Cliente: Consumidor Final (1),3505,2,Medialuna/Bizcocho,110.0,21.0,220.0,9999
16635,B 0003- 00186274,2023-03-17,Cliente: Consumidor Final (1),21,2,Philip Morris KS,550.0,10.5,1100.0,cigarrillos
